620 batches ====> Validation Accuracy 0.531, Validation OOV Accuracy 0.379, Validation Loss 1.624
630 batches ====> Validation Accuracy 0.538, Validation OOV Accuracy 0.381, Validation Loss 1.600
640 batches ====> Validation Accuracy 0.546, Validation OOV Accuracy 0.389, Validation Loss 1.576
650 batches ====> Validation Accuracy 0.551, Validation OOV Accuracy 0.394, Validation Loss 1.554
660 batches ====> Validation Accuracy 0.553, Validation OOV Accuracy 0.390, Validation Loss 1.532
670 batches ====> Validation Accuracy 0.558, Validation OOV Accuracy 0.385, Validation Loss 1.509
680 batches ====> Validation Accuracy 0.558, Validation OOV Accuracy 0.384, Validation Loss 1.484
690 batches ====> Validation Accuracy 0.568, Validation OOV Accuracy 0.387, Validation Loss 1.460
700 batches ====> Validation Accuracy 0.589, Validation OOV Accuracy 0.395, Validation Loss 1.438
710 batches ====> Validation Accuracy 0.596, Validation OOV Accuracy 0.398, Validation Loss 1.414
720 batches ====> Validation Accuracy 0.600, Validation OOV Accuracy 0.394, Validation Loss 1.390
730 batches ====> Validation Accuracy 0.607, Validation OOV Accuracy 0.397, Validation Loss 1.366
740 batches ====> Validation Accuracy 0.624, Validation OOV Accuracy 0.399, Validation Loss 1.344
750 batches ====> Validation Accuracy 0.625, Validation OOV Accuracy 0.397, Validation Loss 1.320
